AreaCode,StoreName,StoreID
7100015,B P STORE,RP00001
7100015,MONAJ STORE,RP00002
7100015,ZARDA HOUSE,RP00003
7100015,BHARAT STORE,RP00004
7100015,BASANA PAN GHAR,RP00005
7100015,BHAGWANDAS RADHESHYAM,RP00006
7100015,SURUCHI,RP00007
7100015,NEW VERITY STORE,RP00008
7100015,ASOKE HOTEL,RP00009
7100015,NIRMAL PAN GHAR,RP00010
7100015,ANJALI BHANDAR,RP00011
7100015,MONOHARI BIPANI,RP00012
7100015,BAISAKHI VERITY AND CATERER,RP00013
7100015,MAA LAXMI BHANDAR,RP00014
7100015,BABA LOKNATH SWEET,RP00015
7100015,GANESH PRASAD,RP00016
7100015,BELA BEKARY,RP00017
7100015,RADHA GOBIND BHANDAR,RP00018
7100015,AJAY PAN GHAR,RP00019
7100015,BIPUL PAN GHAR,RP00020
7100015,MONOROMA COMMUNICATION,RP00021
7100015,MONISHA TEA STOLL,RP00022
7100015,SOROJONI STORE,RP00023
7100015,KAMALA STORE,RP00024
7100015,PRABHU TELECOM,RP00025
7100015,SRI GURU LAXMI BHANDAR,RP00026
7100015,MOUCHAK SWEETS,RP00027
7100015,TRIPTI FAST FOOD,RP00028
7100015,MOHIT VARIETY,RP00029
7100015,SRI SANKAR STORE,RP00030
7100015,BISWASH  SONS,RP00031
7100015,RADHA BALLAB STORE,RP00032
7100015,SARKAR STORE,RP00033
7100015,DHANLAXMI BHANDAR,RP00034
7100015,MATRI BHANDAR,RP00035
7100015,BASUDEV STORE,RP00036
7100015,Kamna Store,RP00037
7100015,Himul titly,RP00038
7100015,MS GANDHESWARI ENTERPRISE,RP00039
7100015,Devnath bhandar,RP00040
7100015,Kundu bandar,RP00041
7100015,Mohit trali like,RP00042
7100015,ASHOK KUMAR PAUL,RP00043
7100015,Kundu pan ghar,RP00044
7100015,Manoka store,RP00045
7100015,ANJALI BHANDARS,RP00046
7100015,jyostna mayee store,RP00047
7100015,Disha stores,RP00048
7100015,The green music,RP00049
7100015,Shiv bhandar,RP00050
7100015,Love   Fine,RP00051
7100015,T K Joy,RP00052
7100015,Sima store,RP00053
7100015,LOKNATH BHANDER,RP00054
7100015,Banty shoppe,RP00055
7100015,neeccssity enterprises,RP00056
7100015,S  communication,RP00057
7100015,poddar stores,RP00058
7100015,SWARNO BHANDAR,RP00059
7100015,nigam store,RP00060
7100015,ANKUR PAN GHAR,RP00061
7100015,PAUL VAREITY STORE,RP00062
7100015,RENUKA BHANDER,RP00063
7100015,PITRIMATRI GENERAL STORE,RP00064
7100015,PRIYA BHANDER,RP00065
7100015,Bhai bhai pan ghar,RP00066
7100015,Netaji store,RP00067
7100015,Haldar stores,RP00068
7100015,JOYGURU BHANDER,RP00069
7100015,Ghash bhandar,RP00070
7100015,LOKENATH COMMUNICATION,RP00071
7100015,Parna stores,RP00072
7100015,New Basck stores,RP00073
7100015,RAI BHANDER,RP00074
7100015,SHREOSHI and SHOHELI VARITY STORE,RP00075
7100015,BHARATI ENTERPRISE,RP00076
7100015,NEW GANDESHARI STORE,RP00077
7100015,Pal bhandar,RP00078
7100015,Baba loknath enterprises,RP00079
7100015,manju verity store,RP00080
7100015,BABA LOKNATH BHANDER,RP00081
7100015,sucharu store,RP00082
7100015,RENU COMMUNICATION,RP00083
7100015,SRI GANESH UDYOG,RP00084
7100015,KAR VARIETY STORE,RP00085
7100015,SRI MAA STORE,RP00086
7100015,SABITRI BHANDAR,RP00087
7100015,LOKNATH STORE,RP00088
7100015,RUBY VARIETY,RP00089
7100015,PANCHAMAKHI BHANDAR,RP00090
7100015,P P DEPARTMANTEL STORE,RP00091
7100015,OLIS STORE,RP00092
7100015,GITA TRADERS,RP00093
7100015,SANIA STORE,RP00094
7100015,BALAJI STORES,RP00095
7100015,MOBILE THEATRE,RP00096
7100015,PAUL COMMUNICTION,RP00097
7100015,GITANJALI G STORE,RP00098
7100015,JAI PAHARIMATA BHANDER,RP00099
7100015,SAHA STORES,RP00100
7100015,MANOJ PAN GHAR,RP00101
7100015,VIRAT TELECOME,RP00102
7100015,DUTTA VARITY STORE,RP00103
7100015,MALLICK STORE,RP00104
7100015,DAS STORES,RP00105
7100015,BANIK STORE,RP00106
7100015,RIMPA STORE,RP00107
7100015,LOKNATH BHANDARS,RP00108
7100015,MATRI BHANDARS,RP00109
7100015,RAJ BHANDAR,RP00110
7100015,SRI RAM PAN GHAR,RP00111
7100015,JOYTI STORE,RP00112
7100015,POPULAR STORE,RP00113
7100015,BINA STORE,RP00114
7100015,RAJ STORE,RP00115
7100015,BALARAM GIFT HOUSE,RP00116
7100015,MAA MANASHA BHANDAR,RP00117
7100015,TAPASH PAN GHAR,RP00118
7100015,P K SAHA,RP00119
7100015,MAHAKALI STORE,RP00120
7100015,GHOSH VARIETY STORES,RP00121
7100015,GOPAL PAN GHAR,RP00122
7100015,SANJAY RETAIL,RP00123
7100015,BINITA STORES,RP00124
7100015,JOYGURU BHANDERS,RP00125
7100015,BABA LOKNATH DURBHAS KENDRA,RP00126
7100015,H B ENTERPRISE,RP00127
7100015,ASHIRBAD,RP00128
7100015,PROVA RANI STORES,RP00129
7100015,NABA LAXMI BHANDER,RP00130
